,season,city,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,loser,toss/win,batfirst,batsecond
91,2008,Hyderabad,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,23,0,SC Ganguly,IL Howell,AM Saheba,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,
92,2008,Jaipur,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,3,SR Watson,SJ Davis,RE Koertzen,Delhi Daredevils,Rajasthan Royals,,Rajasthan Royals
93,2008,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Kings XI Punjab,0,9,SE Marsh,BR Doctrove,I Shivram,Royal Challengers Bangalore,,,Kings XI Punjab
94,2008,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,23,0,Shoaib Akhtar,Asad Rauf,IL Howell,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,
95,2008,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,9,ST Jayasuriya,BR Doctrove,AM Saheba,Chennai Super Kings,Mumbai Indians,,Mumbai Indians
96,2008,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,41,0,SE Marsh,SJ Davis,K Hariharan,Rajasthan Royals,,Kings XI Punjab,
97,2008,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,Delhi Daredevils,12,0,A Mishra,BG Jerling,GA Pratapkumar,Deccan Chargers,,Delhi Daredevils,
98,2008,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,8,SM Pollock,BR Doctrove,DJ Harper,Kolkata Knight Riders,Mumbai Indians,,Mumbai Indians
99,2008,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Kings XI Punjab,6,0,DPMD Jayawardene,AV Jayaprakash,RE Koertzen,Delhi Daredevils,,,Kings XI Punjab
100,2008,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rajasthan Royals,65,0,GC Smith,BF Bowden,SL Shastri,Royal Challengers Bangalore,,Rajasthan Royals,
101,2008,Hyderabad,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Mumbai Indians,25,0,DJ Bravo,BR Doctrove,DJ Harper,Deccan Chargers,,Mumbai Indians,
102,2008,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,3,0,M Ntini,Asad Rauf,K Hariharan,Kolkata Knight Riders,,,Chennai Super Kings
103,2008,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,5,SP Goswami,SJ Davis,GA Pratapkumar,Royal Challengers Bangalore,Delhi Daredevils,,Delhi Daredevils
104,2008,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,6,YK Pathan,BG Jerling,RE Koertzen,Kolkata Knight Riders,Rajasthan Royals,,Rajasthan Royals
105,2008,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,1,0,SE Marsh,BF Bowden,GA Pratapkumar,Mumbai Indians,,Kings XI Punjab,
106,2008,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,14,0,A Kumble,DJ Harper,I Shivram,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,
107,2008,Chandigarh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,SE Marsh,Asad Rauf,SJ Davis,Deccan Chargers,Kings XI Punjab,,Kings XI Punjab
108,2008,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,5,KD Karthik,BF Bowden,K Hariharan,Mumbai Indians,Delhi Daredevils,,Delhi Daredevils
109,2008,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,10,0,JA Morkel,DJ Harper,SL Shastri,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,
110,2008,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,Royal Challengers Bangalore,3,0,P Kumar,BR Doctrove,SL Shastri,Deccan Chargers,,Royal Challengers Bangalore,
111,2008,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kolkata Knight Riders,0,3,Umar Gul,SJ Davis,I Shivram,Kings XI Punjab,,,Kolkata Knight Riders
112,2008,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,5,Sohail Tanvir,BF Bowden,K Hariharan,Mumbai Indians,Rajasthan Royals,,Rajasthan Royals
